MCLR,MCLR,,,KEYPAD,RB7
AN0,RGB Sensor,,,KEYPAD,RB6
AN1,Break beam 1,,,KEYPAD,RB5
AN2,Break beam 2,,,KEYPAD,RB4
AN3,Break beam 3,,,Dispenser 1,RB3
RA4,Stepper 1,,,Dispenser 2,RB2
RA5,Stepper 1,,,KEYPAD,RB1
RE0,Stepper 1,,,Dispenser 3,RB0
RE1,Stepper 1,,,VDD,VDD
RE2,Agitator 1,,,VSS,VSS
VDD,VDD,,,LCD D7,RD7
VSS,VSS,,,LCD D6,RD6
RA7,OSC,,,LCD D5,RD5
RA6,OSC,,,LCD D4,RD4
RC0,Agitator 2,,,,RC7
RC1,Agitator 3,,,,RC6
RC2,Dispenser 1,,,,RC5
RC3,I2C,,,I2C,RC4
RD0,Dispenser 2,,,LCD Enable,RD3
RD1,Dispenser 3,,,LCD RS,RD2
